(297# File 1808_2005jun_obs.dat
#
# This file lists the persistent flux measurements for RXTE/PCA observations 
# of SAX J1808.4-3658 during the 2005 June observation. 
#
# Fluxes are measured in 1E-9 erg/cm^2/s, 3-25 keV
# 
#                Multi-INstrument Burst ARchive (MINBAR) v0.9 - Observatio
# -------------------------------------------------------------------------
#  Entry  Instr.   Observation ID       Start        Stop     Mean   Error 
#                                        time        time     flux   pers. 
#                                      [MJD UT]    [MJD UT]   ,[1e-9 flux [
# -------------------------------------------------------------------------
  20722    XPy 91056-01-01-00       53522.74241 53522.77852  0.649  0.005
  20725    XPe 91056-01-01-01       53523.01324 53523.03407  0.863  0.013
  20726    XPj 91056-01-01-02       53523.46880 53523.48963  1.092  0.006
  20727    XPa 91056-01-01-03       53523.59449 53523.76671  1.126  0.017
  20728    XPy 91056-01-01-04       53523.85699 53523.87505  1.181  0.015
  20730    XPl 91056-01-01-05       53523.93199 53524.00005  1.235  0.017
  20731    XPj 91056-01-02-00       53524.00144 53524.09449  1.278  0.017
  20733    XPa 91056-01-02-01       53524.70907 53525.01185  1.526  0.015
  20737    XPa 91056-01-02-02       53525.69171 53525.92921  1.727  0.012
  20739    XPa 91056-01-02-03       53526.60977 53526.97713  1.790  0.011
  20744    XPa 91056-01-02-04       53527.72366 53527.96046  1.804  0.016
  20749    XPa 91056-01-02-05       53528.64102 53528.94310  1.726  0.024
  20750    XPj 91056-01-02-06       53529.68963 53529.86046  1.612  0.002
  20755    XPa 91056-01-02-08       53530.67296 53530.90907  1.468  0.017
  20757    XPy 91056-01-03-03       53531.32782 53531.34727  1.363  0.014
  20758    XPl 91056-01-03-02       53531.39380 53531.41741  1.358  0.006
  20759    XPa 91056-01-03-00       53531.52435 53531.76116  1.345  0.010
  20766    XPa 91056-01-03-01       53532.63894 53532.80838  1.230  0.009
  20769    XPy 91056-01-03-05       53533.55630 53533.59588  1.106  0.002
  20771    XPa 91056-01-03-04       53533.68685 53533.79241  1.117  0.024
  20774    XPy 91056-01-03-07       53534.47366 53534.50421  1.042  0.028
  20777    XPa 91056-01-03-08       53534.60491 53534.81532  1.001  0.011
  20780    XPa 91056-01-03-06       53535.58755 53535.82435  0.879  0.010
  20786    XPa 91056-01-03-09       53536.50491 53536.74171  0.724  0.005
  20789    XPq 91056-01-03-11       53537.42227 53537.44727  0.538  0.004
  20791    XPa 91056-01-03-10       53537.48824 53537.72435  0.486  0.009
  20796    XPj 91056-01-04-00       53538.60213 53538.70769  0.309  0.002
  20799    XPa 91056-01-04-03       53540.37157 53540.47713  0.136  0.002
  20805    XPj 91056-01-04-01       53541.48546 53541.59102  0.090  0.007
  20808    XPj 91418-01-01-00       53542.46810 53542.50838  0.358  0.012
  20812    XPj 91418-01-01-01       53543.01880 53543.03269  0.316  0.016
  20814    XPs 91418-01-01-02       53544.30282 53544.34310  0.314  0.006
  20819    XPs 91418-01-02-00       53545.25074 53545.26046  0.098  0.003
  20823    XPy 91418-01-02-01       53546.23199 53546.24449  0.019  0.002
  20827    XPa 91418-01-02-02       53547.21255 53547.22713  0.102  0.001
  20830    XPa 91418-01-02-03       53548.17019 53548.18477  0.132  0.022
  20834    XPa 91418-01-02-04       53549.11394 53549.12782  0.167  0.003
  20836    XPa 91418-01-02-05       53550.09588 53550.11046  0.126  0.004
  20844    XPj 91418-01-03-00       53552.59102 53552.60144  0.354  0.064
  20846    XPc 91418-01-03-01       53553.82157 53553.84727  0.173  0.008
  20849    XPc 91418-01-03-02       53555.00560 53555.02019  0.077  0.003
  20852    XPc 91418-01-03-03       53556.06810 53556.07713  0.110  0.008
  20855    XPc 91418-01-03-04       53556.65699 53556.66741  0.280  0.017
  20859    XPc 91418-01-03-05       53557.95005 53557.97157  0.235  0.004
  20862    XPj 91418-01-04-00       53559.40282 53559.44449  0.062  0.007
  20864    XPj 91418-01-04-01       53560.62782 53560.64380  0.039  0.006
  20872    XPc 91418-01-04-02       53563.46880 53563.47921  0.157  0.005

                Multi-INstrument Burst ARchive (MINBAR) v0.9 - Observatio
 -------------------------------------------------------------------------
  Entry  Instr.   Observation ID       Start        Stop     Mean   Error 
                                        time        time     flux   pers. 
                                      [MJD UT]    [MJD UT]   ,[1e-9 flux [
 -------------------------------------------------------------------------
  20874    XPj 91418-01-04-03       53564.31463 53564.32713  0.155  0.010
  20881    XPc 91418-01-05-00       53567.39171 53567.40769  0.143  0.003
  20885    XPc 91418-01-05-01       53568.30699 53568.32227  0.038  0.001
  20893    XPs 91418-01-05-02       53571.32505 53571.33685  0.008  0.001
  20901    XPj 91418-01-06-00       53573.49866 53573.51046  0.092  0.025
  20905    XPj 91418-01-06-01       53574.58894 53574.59935  0.103  0.003
  20912    XPj 91418-01-06-02       53577.01394 53577.02505  0.091  0.051
  20915    XPj 91418-01-06-03       53578.41046 53578.42088  0.045  0.038
  20920    XPj 91418-01-07-00       53580.64171 53580.65005  0.150  0.010
  20926    XPc 91418-01-07-04       53581.42574 53581.43755  0.104  0.021
  20931    XPc 91418-01-07-01       53583.32088 53583.33199  0.034  0.038
  20934    XPj 91418-01-07-02       53584.41810 53584.42574  1.873  0.010
  20938    XPc 91418-01-07-03       53586.26671 53586.27782  0.030  0.042
  20942    XPc 91418-01-08-00       53587.92019 53587.93060  0.612  0.021
